name,D_Mpc,n_points,Rmax_kpc,Nosc_Rmax_over_lambda0,chi2_reduced,R_squared,RMSE_km_s,V_max_fixed,A,zeta,lambda0_kpc,phi0_rad,Rc_kpc,success
NGC4013,18.0,36,31.01,1.1832707826354942,0.6783641443474668,0.8506099401249789,4.0918331401325805,178.0,0.3208786676838235,0.40185874560677504,26.207019099154596,2.915665284373949,2.636622977389392,True
NGC4088,18.0,12,21.48,1.0455631111114985,0.3241682851040243,0.9924189644445978,2.261160254276763,169.5,0.4355722070774697,0.7018312349276837,20.54395356122064,1.5492254933762102,1.35876161153161,True
NGC4100,18.0,24,22.76,0.49999999999999994,0.3561198253280324,0.9650468018502834,3.31135151465103,158.5,0.3635020116523958,0.9380431201790034,45.52000000000001,2.9429808607653465,2.6436302378654704,False
NGC4157,18.0,17,29.61,0.9312396820102135,0.20397772279709517,0.9926155811744788,1.9808850019084707,185.0,0.11119921108964366,0.99,31.796325448763735,2.8450232645883107,3.027594375038202,False
NGC4183,18.0,23,21.02,0.9269023945796689,0.2702593394938452,0.988107087726239,1.84020283506447,110.5,0.07342986263651603,0.99,22.67768442817772,0.9878591988374789,0.9583394123274941,True
NGC4214,2.87,14,5.63,0.5130440706314134,0.09152038305816737,0.9802362008431574,1.095641350339297,80.5,0.04275077246007789,0.9899999360233339,10.973716143081136,1.3567411917812242,0.07588785993523843,False
NGC4217,18.0,19,16.72,0.5,0.47213894790629646,0.9865308792221753,4.095492314925986,178.0,0.23998069684030235,0.545565659703986,33.44,3.1177110451478147,2.661754721271509,True
NGC4559,9.0,32,20.97,0.5000002563726313,0.16060848464036953,0.9880137740996519,2.067267314331262,121.5,0.03872939536086968,0.9899988228773201,41.939978495474705,1.4524778965140808,1.4103553450743302,True
NGC5005,16.9,18,11.47,0.5,0.10654983226651354,0.9320795733789279,4.095714584633589,265.0,0.025428355741467255,0.99,22.94,1.3884618344617978,0.14261971746072455,True
NGC5033,15.7,22,44.59,0.5000000000000002,2.7531567836483544,0.7461251808893665,5.843920646097318,193.5,0.15594259702331212,0.0919175361310099,89.17999999999996,3.516113650913099,0.05000000000000001,True
NGC5055,9.9,28,54.59,0.7461163790007178,2.503119156506311,0.925046440600061,4.6649001778936965,179.0,0.13674108082316502,0.9709794000466034,73.16552958281524,2.992292214507115,0.4480210177147278,True
NGC5371,39.7,19,46.24,0.6763428109568954,2.8651546181505547,0.6221254688528328,7.473570233010217,208.0,0.2536239800760223,0.3306675762534139,68.36769645644532,2.778128375039845,0.05000000000000001,True
NGC5585,7.06,24,10.96,0.8082932922189271,1.5446906178331472,0.9877971531345212,2.8648443078768047,90.75,0.15260234999955358,0.99,13.559434558602613,0.5363953160902227,0.256113904174263,False
NGC5907,17.3,19,50.33,0.8650907181866321,2.319771283375821,0.8367354359188869,3.1985847669674623,216.0,0.18706058683819282,0.559965417315264,58.17886950110815,2.560867602959128,0.050055467244784234,True
NGC5985,39.7,33,34.72,0.9770069823973803,1.0872314858112577,0.9252997722301411,5.315988534709895,292.0,0.04674365745616933,0.99,35.53710528741979,2.0698761092316706,2.7481459990566877,True
NGC6015,17.0,44,29.23,2.115268472521818,5.12215068200386,0.9533647809832272,5.796408312210197,155.0,0.0761694062947991,0.10803303267149203,13.8185768755642,3.130917792205349,1.7978251343215328,True
NGC6195,127.8,23,36.43,1.2974861339555563,1.1988781662279497,0.8418209346904842,6.374181647204866,254.5,0.06657862855855755,0.99,28.0773713464963,5.115468810869797,1.801025964547004,True
NGC6503,6.26,31,23.5,0.5000000000000001,1.3301086388274934,0.9387965413432875,1.8884806830294643,115.0,0.010212415659366345,0.99,46.99999999999999,3.6712787108727962,0.8529664290860013,True
NGC6674,51.2,15,72.41,1.0051969752420555,1.949674806529015,0.6407791731777962,12.534815240561938,242.0,0.31950487401870614,0.7412948579251553,72.03563260082768,3.1042872150001966,0.5622477294441358,True
NGC6946,5.52,58,20.4,0.801260942403887,2.6046964731765514,0.7601929524496215,7.147533953962536,158.0,0.3115011322403258,0.44325435574997857,25.459870711777548,2.215857920362636,0.05000000000000001,True
NGC7331,14.7,36,36.31,0.9832192271851345,0.3937119615104967,0.9492292250674457,1.825255565690534,239.0,0.05396459353555706,0.99,36.92970905781833,3.51207176021254,2.0446258780343087,True
NGC7793,3.61,46,7.87,1.2560390268053454,0.7973346163336269,0.9734381970810525,4.960631661883599,110.5,0.3085229716229559,0.18499726820182064,6.265728876288852,6.258908366787247,0.8037484297534239,True
NGC7814,14.4,18,19.53,0.5000000229493665,0.5628130669370115,0.7711436925606105,6.479656619680187,214.0,0.048934983866913494,0.9638007472430666,39.05999820719557,3.9414558992371935,0.050000045684014956,True
UGC00128,64.5,22,53.75,1.8350129137095417,2.3024622149375427,0.9916037670598334,2.0691859789978806,131.0,0.12583472339732082,0.35841948348397723,29.291346997303975,5.053300444453992,5.358186272688326,True
UGC00731,12.5,12,10.91,0.7060264437525423,0.12531649160971092,0.9987350961075845,0.48195245278800786,73.85,0.3051768970109164,0.6459050473182321,15.452678998839149,6.283185307179586,1.7708129799692336,True
UGC01230,53.7,11,36.54,0.4999999999999999,0.23656664064412072,0.9826137611564846,3.5982232012224333,104.0,0.05496594583302831,0.99,73.08000000000001,3.7526108566526677,4.397608721068677,False
UGC01281,5.27,25,4.99,0.5000000208356873,0.05367554711166607,0.9992180289926015,0.4922901216617676,55.0,0.29999552524444373,0.22394979617724614,9.9799995841197,2.205462426309913,2.2798864639660343,True
UGC02487,69.1,17,80.38,0.716925644726896,3.512282586793619,0.7659419896659558,10.031468807511438,330.0,0.35339224717930284,0.6605939610943682,112.11762417931048,2.8959094117403854,0.05007820673705411,True
UGC02885,80.6,19,74.07,0.5000007034198001,1.2682002247939017,0.4882023767608217,9.522770956179334,298.0,0.030175744516844297,0.9899976409450161,148.1397915910748,0.24934995937737095,0.05000062639477227,True
UGC02916,65.4,43,38.0,0.7880552707310884,2.0972954202227823,0.2837010845908007,8.303139416305415,210.0,0.025361389520809168,0.01,48.2199680800903,2.922524462663483,0.05000000000000001,True
UGC02953,16.5,115,62.39,0.9606586338567455,4.065491671348843,0.9136384356796221,8.310628891246235,264.0,0.10920187890675637,0.99,64.94502604897596,2.915713810442444,0.05000000000000001,True
UGC03205,50.0,48,40.04,0.5000000000000002,1.2258429682921415,0.8477069158455433,11.177151416555091,219.0,0.10897149720907623,0.4416444500026295,80.07999999999997,4.877888906533211,1.3894978574106254,True
UGC03546,28.7,30,29.23,0.5,1.6581923816159376,0.07918475664439006,17.96939653976636,193.5,0.08492246734944851,0.2684012903183352,58.46,4.0365310537187336,0.05000000000000001,True
UGC03580,20.7,47,27.06,0.5000000000000001,2.6840454302764605,0.5301252367332693,14.409828392279328,120.0,0.196437655561385,0.39180133370439907,54.11999999999999,1.4027453413851747,1.1845369565445893,True
