name,D_Mpc,n_points,Rmax_kpc,lambda0_kpc_fixed,Nosc_Rmax_over_lambda0,chi2_reduced,R_squared,RMSE_km_s,V_max_fixed,A,zeta,phi0_rad,Rc_kpc,success
NGC0801,80.7,13,59.82,77.766,0.7692307692307692,5.990145708385557,0.8922911572918565,10.862449379871258,216.0,0.04198567268128016,0.99,4.055713434226516,1.9834809004824276,True
NGC0891,9.91,18,17.11,22.243,0.7692307692307693,0.7510479704077083,0.2711940380056591,7.902681356336384,216.0,0.05104488649050964,0.01,2.221152101247835,0.05,True
NGC1003,11.4,36,30.24,39.312,0.7692307692307693,1.1260357017403089,0.9576697332868823,3.0597604169638815,112.0,0.18355728471771066,0.34064484783861837,5.356554315364941,3.8828627679781453,True
NGC1090,37.0,24,30.09,39.117000000000004,0.7692307692307692,0.6899120033414116,0.9910747191480637,3.6159797347669898,162.0,0.08649639079129744,0.99,2.0720149329832394,1.36467416630631,True
NGC1705,5.73,14,6.0,7.800000000000001,0.7692307692307692,0.06945853936465442,0.9438209546900042,1.4156720134267828,71.5,0.023339702408639768,0.9899998764079372,2.352843861877387,0.19390398964254743,True
NGC2366,3.27,26,6.06,7.878,0.7692307692307692,0.18708379887620374,0.9957916226200038,0.9391162886528629,50.0,0.4333900654089718,0.8960942878196977,0.6981690378184616,0.579818222426807,True
NGC2403,3.16,73,20.87,27.131000000000004,0.7692307692307692,3.938236937763553,0.9847770865921202,3.2420254878880743,134.0,0.05836847077269938,0.99,0.7299022276386511,0.7471776336202387,True
NGC2683,9.81,11,34.62,45.006,0.7692307692307692,1.1655243866392484,0.8466271855616607,8.49074955758002,153.0,0.5971668497242112,0.8708628935673971,3.002799025034044,0.05,True
NGC2841,14.1,50,63.64,82.732,0.7692307692307693,0.8541646031010031,0.9316691994725101,4.379421774953602,282.0,0.1875183739704206,0.8038007566068034,3.6786499962981973,2.0541562316404316,True
NGC2903,6.6,34,24.96,32.448,0.7692307692307693,5.1544803039429645,0.9505903360629285,8.278274949478051,182.0,0.19409606444272046,0.9505217934155809,3.0627714760496842,1.0462431036403004,True
NGC2915,4.06,30,10.04,13.052,0.7692307692307692,0.16917038158354922,0.9744408056739315,2.8363732874973553,83.45,0.09221290222107693,0.99,2.747581434304994,1.8479124048899862,True
NGC2955,97.9,24,35.43,46.059000000000005,0.7692307692307692,2.2789892817982818,0.8617800528347097,9.013455132422312,255.5,0.06397273109822564,0.01,2.5923477302171376,0.8546317306560554,True
NGC2976,3.58,27,2.27,2.951,0.7692307692307693,0.28939712891424557,0.9954277367889025,1.6723778013894832,83.6,0.24943912101932605,0.0919294631348627,0.41658507300511666,1.0217374390892828,True
NGC2998,68.1,13,42.28,54.964000000000006,0.7692307692307692,1.6843993680547673,0.8680145678800881,14.159275772837315,213.0,0.014562353674675451,0.01,2.766908886018988,1.4830507118302394,True
NGC3109,1.33,25,6.45,8.385,0.7692307692307693,0.30683867613475757,0.9938675857173167,1.447614466525008,66.2,0.09340545756155637,0.01,0.45747524482101143,2.808490313974116,True
NGC3198,13.8,43,44.08,57.304,0.7692307692307692,0.4030092821979292,0.9853554932074833,4.27905540266606,149.0,0.050445222519894285,0.99,2.8881485837378746,3.440709759810458,True
NGC3521,7.7,41,17.74,23.061999999999998,0.7692307692307693,0.07648011421679249,0.950812854401591,3.5032712873292122,210.0,0.060230393686406536,0.25774184494008273,3.2985680946235925,0.6132916585650008,True
NGC3726,18.0,12,32.52,42.276,0.7692307692307693,1.3153848883479462,0.8983551091178774,6.135117585465515,167.5,0.15813124014293525,0.99,3.5077984225190435,8.360413309999421,True
NGC3741,3.21,21,7.0,9.1,0.7692307692307693,0.2527491072708082,0.9912727307639817,1.0534260864370057,50.05,0.17773021691647628,0.99,5.894005038862292,1.209383249792101,True
NGC3769,18.0,12,37.16,48.308,0.7692307692307692,0.4365176030889409,0.8411758283446906,4.020097843977817,119.5,0.102762011868597,0.2797851748174372,4.316022790329366,2.1938831676991466,True
NGC3877,18.0,13,11.35,14.755,0.7692307692307692,0.2474420611794952,0.9954005831377708,2.6910616632162245,170.5,0.07858292184687257,0.99,1.186875017389123,2.031642843189691,True
NGC3893,18.0,10,19.05,24.765,0.7692307692307693,0.41673898758462435,0.8948497114964327,4.437154495778566,177.5,0.1307013032629881,0.9769252124513099,2.2194522544201134,0.050004834746390496,True
NGC3917,18.0,17,14.86,19.318,0.7692307692307692,0.40306679965054976,0.9950019575835273,2.360883426648111,137.0,0.08977907556934721,0.99,0.9741402842649745,2.3973813723385122,False
NGC3972,18.0,10,8.72,11.336000000000002,0.7692307692307692,0.09662514848687538,0.9983261329273966,1.18084781995637,132.0,0.06325648752614126,0.01,6.258914131501242,2.5103435619965997,True
NGC4010,18.0,12,10.47,13.611,0.7692307692307693,0.44663491016654744,0.9920295905899876,2.679593816440042,125.5,0.5761481512179139,0.8285160087028617,6.277968043014717,1.797106501028497,True
NGC4013,18.0,36,31.01,40.313,0.7692307692307693,0.7666190872316959,0.7961384687230614,4.779964880506818,178.0,0.13270492888318253,0.9899975984324199,3.7550200581917283,4.500047141456789,True
NGC4088,18.0,12,21.48,27.924000000000003,0.7692307692307692,0.24509554048987423,0.9862044233985757,3.0502610196019724,169.5,0.3070057543996807,0.860465454174758,2.3114778221211973,2.392343968790262,True
NGC4100,18.0,24,22.76,29.588000000000005,0.7692307692307692,1.1962853966268516,0.8653738787615081,6.498700053930296,158.5,0.7132737363745184,0.6105031415077125,2.2678584642803084,0.05,True
NGC4157,18.0,17,29.61,38.493,0.7692307692307692,0.13171365185236283,0.9865810369082021,2.670303239217862,185.0,0.0949339376453951,0.99,3.288074218235728,3.5966588263050676,True
NGC4183,18.0,23,21.02,27.326,0.7692307692307692,0.19230596769461106,0.9826227459195366,2.2243962965821256,110.5,0.060013638414066685,0.9899999619917572,1.3100412298649808,1.1509279469836697,True
NGC4214,2.87,14,5.63,7.319,0.7692307692307693,0.023854483699473343,0.9916483128035787,0.7122300750890621,80.5,0.055218328806349956,0.9899999789177791,0.5953878701247769,0.10481944883277305,True
NGC4217,18.0,19,16.72,21.736,0.7692307692307692,0.6411985890976717,0.9798154289010784,5.0135604354620185,178.0,0.34517114102766866,0.6238299403828769,2.036831929145966,1.6985768789181506,True
NGC4559,9.0,32,20.97,27.261,0.7692307692307692,0.09623532823146234,0.9882867973442224,2.043587499482481,121.5,0.1491778084537463,0.6034253032160967,0.6931993546055248,1.7450982620948416,True
NGC5005,16.9,18,11.47,14.911000000000001,0.7692307692307692,0.05414620166666199,0.9415792451733022,3.798508163133596,265.0,0.03230081304618766,0.9899999064870106,0.6754346805504186,0.16313414567977524,True
NGC5033,15.7,22,44.59,57.967000000000006,0.7692307692307692,8.20570546725399,-1.0872090629958424,16.75627473894884,193.5,0.24262060437195682,0.2705222258665232,2.5830026260315613,0.05,True
NGC5055,9.9,28,54.59,70.96700000000001,0.7692307692307692,2.326966513623025,0.9208510129715894,4.793678511482992,179.0,0.21542167379392665,0.9196640855826758,2.9870777819033663,0.4400369059331158,True
NGC5371,39.7,19,46.24,60.112,0.7692307692307693,3.618583786805046,0.32101115247175505,10.018106171223907,208.0,0.2635265870285151,0.2956319356185741,2.615958765124964,0.05,True
NGC5585,7.06,24,10.96,14.248000000000001,0.7692307692307693,1.4044895890116653,0.9891394405705234,2.7026919148417416,90.75,0.1453713583060831,0.99,0.6000166218245576,0.23523795724696425,True
NGC5907,17.3,19,50.33,65.429,0.7692307692307692,2.115476146228495,0.8353621647415517,3.212008764393258,216.0,0.1723503808343704,0.5842255378343475,2.887132031889284,1.598519663059535,True
NGC5985,39.7,33,34.72,45.136,0.7692307692307692,0.9656941881220528,0.9186941055120712,5.546053933441571,292.0,0.03623575521114367,0.9899994608309035,2.710677145781201,3.3941320550926677,True
